,0,1,2,3,4,5,6
256,maughar01,Ariel Maughan,1947-1951,0,m,https://www.basketball-reference.com/players/m/maughar01.html,
257,onuakar01,Arinze Onuaku,2014-2017,1,o,https://www.basketball-reference.com/players/o/onuakar01.html,
258,curear01,Armand Cure,1947,0,c,https://www.basketball-reference.com/players/c/curear01.html,
259,gilliar01,Armen Gilliam,1988-2000,0,g,https://www.basketball-reference.com/players/g/gilliar01.html,
260,johnsar02,Armon Johnson,2011-2012,0,j,https://www.basketball-reference.com/players/j/johnsar02.html,
261,hillar01,Armond Hill,1977-1984,0,h,https://www.basketball-reference.com/players/h/hillar01.html,
262,moultar01,Arnett Moultrie,2013-2014,0,m,https://www.basketball-reference.com/players/m/moultar01.html,
263,ferriar01,Arnie Ferrin,1949-1951,0,f,https://www.basketball-reference.com/players/f/ferriar01.html,
264,johnsar01,Arnie Johnson,1949-1953,0,j,https://www.basketball-reference.com/players/j/johnsar01.html,
265,risenar01,Arnie Risen,1949-1958,0,r,https://www.basketball-reference.com/players/r/risenar01.html,
266,kulboar01,Arnoldas Kulboka,-,0,k,https://www.basketball-reference.com/players/k/kulboar01.html,
267,baynear01,Aron Baynes,2013-2019,1,b,https://www.basketball-reference.com/players/b/baynear01.html,
268,afflaar01,Arron Afflalo,2008-2018,1,a,https://www.basketball-reference.com/players/a/afflaar01.html,
269,kazemar01,Arsalan Kazemi,-,0,k,https://www.basketball-reference.com/players/k/kazemar01.html,
270,burriar01,Art Burris,1951-1952,0,b,https://www.basketball-reference.com/players/b/burriar01.html,
271,colliar01,Art Collins,1981,0,c,https://www.basketball-reference.com/players/c/colliar01.html,
272,harriar01,Art Harris,1969-1972,0,h,https://www.basketball-reference.com/players/h/harriar01.html,
273,heymaar01,Art Heyman,1964-1970,0,h,https://www.basketball-reference.com/players/h/heymaar01.html,
274,hillhar01,Art Hillhouse,1947-1948,0,h,https://www.basketball-reference.com/players/h/hillhar01.html,
275,longar01,Art Long,2001-2003,0,l,https://www.basketball-reference.com/players/l/longar01.html,
